IM regime begins (week), smallest tumor size (g), smallest at (week), tumor size at progression (g), SU regime begins (week), smallest tumor size (g), smallest at (week), tumor size at progression (g), REG regime begins (week), smallest tumor size (g), smallest at (week), tumor size at progression (g), time of progression (week), % resistant, 100 g tumor at (week),,
248.5,0.13296387,547,0.23060763,583.5,0.00468963,714.5,0.00812539,749.5,0.00812539,714.5,0.01417027,768.5,0.927374002,1170,,
248.5,0.99768645,490.5,1.73592747,528,1.73592747,490.5,3.020953,550.5,0.70334398,616,1.2279656,653.5,0.919977791,892,,
248.5,0.00120506,677,0.0020999,714,5.60E-07,904,9.90E-07,909.5,7.90E-07,914.5,1.44E-06,916.5,0,1819.5,,
248.5,0.40943307,516,0.7105232,552.5,0.09234351,631,0.15961073,668,0.07718197,707,0.13382685,744,0.175324608,1053,,
248.5,0.75163346,498.5,1.31119232,536,1.31119232,498.5,2.27957545,558,2.27957545,498.5,3.95443203,580,0.996149022,803.5,,
248.5,0.07928667,562,0.13797475,598,0.13797475,562,0.23981467,618.5,1.00E-08,976,2.00E-08,976.5,0,,,
249,0.39969928,516.5,0.69840663,554,0.50834902,579.5,0.88808217,616.5,0.52384776,650,0.91451623,687,0.443048288,925.5,,
248.5,0.62105115,504,1.07678178,541,0.13684721,621.5,0.23649622,657.5,0.17672645,681.5,0.30707182,718,0.620015572,997,,
248.5,0.29121717,526,0.50657418,562,0.50657418,526,0.88137829,583,1.20E-07,969.5,2.20E-07,971,0,,,
248.5,0.12308804,549.5,0.2129117,585.5,0.19962378,596.5,0.34714113,633,0.20648079,666,0.35790422,702.5,0.459960657,973,,
248.5,0.07746211,562,0.13454384,598.5,0.03822906,654.5,0.06682215,691.5,0.02883094,735,0.05001731,771,0,1116,,
248.5,0.61846676,504,1.06995398,541,1.06995398,504,1.85043255,562.5,,,,,,,,
248.5,0.1542217,543,0.26927451,579.5,0.26927451,543,0.46732992,600,1.70E-07,995.5,3.20E-07,997.5,0,,,
248.5,0.08918901,558.5,0.15453162,595,0.15453162,558.5,0.26873366,615.5,0.26873366,558.5,0.46888898,640.5,0.953489801,925,,
248.5,0.00848995,623.5,0.01473127,660,2.20E-07,902.5,4.20E-07,906.5,4.00E-08,915.5,9.00E-08,917,0,,,
249,0.02379749,596.5,0.04142186,632,0.04142186,596.5,0.07205541,652.5,4.30E-07,970,7.70E-07,976,0,,,
248.5,6.00E-08,872.5,1.10E-07,874,1.10E-07,872.5,2.00E-07,876,1.00E-08,885,2.00E-08,886.5,0,,,
248.5,4.70E-07,871.5,8.40E-07,875.5,5.00E-08,902.5,9.00E-08,903.5,,,,,,,,
248.5,0.05522043,572,0.09549831,607.5,0.03458896,657,0.06053704,693,0.06053704,657,0.10468124,711.5,0.934163371,1030.5,,
249,0.02957224,589.5,0.05172235,626.5,0.03356775,656.5,0.05805618,692,0.02510321,734.5,0.04394284,772,0,1103.5,,
248.5,0.46171862,512.5,0.80080149,549,0.80080149,512.5,1.39269368,575.5,1.34098411,584,2.33476588,622.5,0.860026621,864,,
248.5,0.07224905,563.5,0.12489894,600,1.60E-07,955,3.30E-07,956.5,2.40E-07,958,4.20E-07,959.5,0,1785,,
248.5,0.52153151,509,0.9118152,546,0.9118152,509,1.59452301,567.5,1.59452301,509,2.77821682,591,0.976131906,830,,
248.5,0.15270778,543.5,0.26599314,580,3.00E-08,929.5,7.00E-08,930,4.00E-08,930.5,1.00E-07,932,0,,,
248.5,0.23047022,531.5,0.40214314,568.5,0.40214314,531.5,0.70154786,601.5,0.3115325,644.5,0.54081337,681.5,0.182696408,966.5,,
248.5,0.29136713,524.5,0.50980865,562,0.45368301,577,0.78683756,614,0.78683756,577,1.37104916,635,0.916706502,873.5,,
248.5,0.00676659,628,0.01175643,665.5,0.01175643,628,0.02042323,686,0.02042323,628,0.03547738,713,0.942772832,1089,,
248.5,0.04655842,576.5,0.08066492,612.5,0.08066492,576.5,0.14095512,633,0.14095512,576.5,0.24614777,659,0.948184905,944,,
248.5,0.1525744,544,0.26631433,580,0.26631433,544,0.46546097,609,0.16961006,657.5,0.29438476,694.5,0,995,,
248.5,0.00127381,676.5,0.00220422,711.5,6.30E-07,922,1.10E-06,944.5,1.09E-06,945,1.89E-06,950,0,1672.5,,
248.5,0.34580785,520,0.60046037,557,0.5870036,563.5,1.01732922,600.5,0.42892579,645.5,0.74678187,682.5,0,953.5,,
248.5,0.957656,491,1.66552948,529,1.50739443,543,2.62344345,581.5,2.62344345,543,4.58346604,606.5,0.920133795,827,,
248.5,3.60E-07,856.5,6.30E-07,861,1.60E-07,872.5,2.90E-07,873.5,7.00E-08,885.5,1.30E-07,887.5,0,,,
248.5,0.22096107,532.5,0.38421594,569.5,0.38421594,532.5,0.66475654,594.5,0.66475654,532.5,1.1514906,615.5,0.948479414,881,,
248.5,1.08673068,487.5,1.89824329,526,0.0040087,722.5,0.00699363,758.5,0.00292379,803.5,0.00508902,838,0,1260.5,,
248.5,0.03293258,585.5,0.05752742,622.5,1.40E-07,961,2.70E-07,962.5,2.10E-07,969,4.40E-07,972.5,0,1735,,
248.5,1.10E-07,848,2.00E-07,849.5,,,,,,,,,,,,
248.5,2.40E-07,875.5,4.50E-07,883.5,1.60E-07,903.5,2.80E-07,907,2.60E-07,911,4.70E-07,913.5,0,,,
248.5,1.22577355,484,2.13380601,522.5,0.12993221,625,0.22680673,661.5,0.097054,705,0.16929045,742,0,1056,,
248.5,0.23899417,531,0.41768311,567.5,0.41768311,531,0.73147,588.5,0.73147,531,1.27517002,612.5,0.962925164,875,,
248.5,0.045801,577,0.07930533,613,6.00E-08,936.5,1.10E-07,938,1.10E-07,936.5,2.00E-07,941.5,0,1793.5,,
248.5,1.00E-07,842,2.40E-07,843,2.40E-07,842,4.20E-07,846,1.00E-07,857,1.90E-07,858.5,0,,,
