IM regime begins (week), smallest tumor size (g), smallest at (week), tumor size at progression (g), SU regime begins (week), smallest tumor size (g), smallest at (week), tumor size at progression (g), REG regime begins (week), smallest tumor size (g), smallest at (week), tumor size at progression (g), time of progression (week), % resistant, 100 g tumor at (week),,
249,0.68342548,501.5,1.18960077,539,1.18960077,501.5,2.05604406,560.5,2.05604406,501.5,3.5794818,586,0.970123147,817,,
248.5,0.09097621,557,0.1588903,594.5,2.30E-07,922.5,4.10E-07,923.5,1.90E-07,924.5,3.40E-07,926,0,,,
248.5,0.10079345,555,0.17454052,591,0.17454052,555,0.30204567,611.5,0.30204567,555,0.52680567,631,0.993519014,913,,
248.5,0.00805172,624.5,0.0140673,661,1.50E-07,954.5,2.70E-07,958,2.70E-07,954.5,5.30E-07,959.5,0,1684,,
248.5,0.0669995,565.5,0.11662482,602.5,0.10798579,613.5,0.18713252,651,0.07971929,695,0.13885731,731.5,0,1048,,
248.5,1.60E-07,879.5,3.10E-07,885,2.60E-07,886,5.20E-07,889,5.20E-07,886,9.00E-07,896.5,0,,,
248.5,0.00759774,626,0.01314077,663,0.01314077,626,0.02300122,684,1.80E-07,1000.5,3.30E-07,1002,0,,,
249,0.11700262,552,0.20398036,587.5,0.20398036,552,0.35582071,608,0.35229735,612.5,0.60926876,648.5,0.929498043,909.5,,
248.5,0.06547198,567,0.11424585,603.5,0.11424585,567,0.19855659,630.5,0.19855659,567,0.34420617,649.5,0.952703259,921.5,,
248.5,9.00E-08,855,1.70E-07,856.5,1.30E-07,857,2.40E-07,861,1.90E-07,863,3.30E-07,864.5,0,,,
248.5,0.35328296,520,0.61512916,556.5,0.61512916,520,1.06758876,578,0.38488797,628,0.67282053,665,0.804621509,912.5,,
248.5,0.05881755,569,0.10219848,606,7.20E-07,906,1.28E-06,911,1.22E-06,916,2.23E-06,930.5,0,1632,,
248.5,3.60E-07,867.5,7.10E-07,873.5,1.50E-07,888.5,2.60E-07,891,7.00E-08,896.5,1.50E-07,900,0,,,
248.5,0.06606113,566.5,0.11496291,603,0.10139603,618.5,0.17678409,655,0.07489601,699,0.13058904,735.5,0,1050,,
248.5,0.06605611,566,0.11523855,603,0.11523855,566,0.20008175,628.5,0.20008175,566,0.34602349,647.5,0.958883745,928,,
248.5,0.64078602,502.5,1.11185859,540,1.11185859,502.5,1.93256727,566.5,1.93256727,502.5,3.35462874,588,0.961010264,811.5,,
248.5,0.044078,576.5,0.07619992,614.5,0.07619992,576.5,0.13329775,639,0.08464386,669,0.14639806,705.5,0.738387858,1011,,
248.5,1.06621916,488.5,1.8594388,526.5,1.8594388,488.5,3.25017977,549.5,0.13690967,663,0.23814126,700.5,0.883673497,1000.5,,
248.5,0.31107041,523.5,0.53959359,560,0.53959359,523.5,0.93700835,581,0.93700835,523.5,1.62032869,601,0.994991769,857.5,,
248.5,4.70E-07,840.5,8.60E-07,849,6.30E-07,851.5,1.09E-06,854,,,,,,,,
248.5,0.05705022,571.5,0.09948781,607.5,0.09948781,571.5,0.17317764,628,5.60E-07,981.5,1.09E-06,986,0,,,
248.5,0.01003594,619.5,0.01739587,655,0.01739587,619.5,0.0304334,676,1.90E-07,951,3.70E-07,953,0,,,
248.5,0.07756048,562,0.13495645,598.5,0.13495645,562,0.2347465,619,4.00E-08,970,7.00E-08,970.5,0,,,
248.5,0.58812814,505.5,1.02151178,542.5,1.02151178,505.5,1.77071684,564,3.10E-07,969,5.60E-07,975.5,0,,,
248.5,0.03886217,581.5,0.06795555,617,0.06795555,581.5,0.1179018,642,0.09556491,662,0.16705432,698.5,0.803390478,1019,,
248.5,0.02246124,598,0.03901526,633,0.03901526,598,0.06840187,653.5,0.06840187,598,0.11931928,675.5,0.96848506,995,,
248.5,1.60E-07,884,3.20E-07,885.5,1.90E-07,892.5,3.30E-07,896.5,3.00E-07,897,5.20E-07,902.5,0,,,
248.5,0.13269305,547,0.22951371,583.5,0.22951371,547,0.39888596,604.5,0.03629938,693.5,0.06276202,729.5,0,1081,,
248.5,0.03270202,585.5,0.05678376,622.5,0.05678376,585.5,0.09910125,643,0.09910125,585.5,0.17150051,662,0.994552669,986.5,,
248.5,0.00368041,648,0.00640928,682.5,0.00640928,648,0.01123032,703,0.01123032,648,0.0194813,723,0.982265557,1111.5,,
248.5,0.31927577,522,0.55651287,559.5,0.08720557,633,0.15107723,669.5,0.06605203,712.5,0.11481196,749,0,1076.5,,
249,0.0050337,636,0.00874122,675,0.00874122,636,0.01521208,695.5,0.01521208,636,0.02637642,714.5,0.994439352,1073.5,,
249,0.0763321,563,0.13245711,599.5,0.01732381,678,0.02999218,714,0.01323563,755,0.02310686,792.5,0,1150,,
248.5,0.03379809,585.5,0.05891228,621.5,0.05856552,624,0.10205085,661.5,0.10205085,624,0.17772109,680.5,0.936698171,995.5,,
248.5,0.08254869,560.5,0.14309908,596.5,0.14309908,560.5,0.24932218,617,0.19631674,639,0.3433418,675.5,0.9318397,975.5,,
248.5,6.40E-07,843,1.17E-06,848.5,1.17E-06,843,2.05E-06,855,5.00E-08,892.5,1.00E-07,895,0,,,
248.5,0.05384866,572.5,0.09381486,609,0.09381486,572.5,0.16330436,633,0.16330436,572.5,0.28220853,652,0.967999621,937,,
248.5,0.67551442,501.5,1.1790691,539,1.17197167,542.5,2.03951233,580.5,0.85203767,627,1.48924833,664.5,0,916,,
248.5,0.15085465,543.5,0.26227004,580,0.26227004,543.5,0.45448712,600.5,0.36486754,621.5,0.63180325,658,0.931453312,941,,
248.5,0.20889747,534,0.36506337,571,0.29265244,592,0.51004669,628.5,0.51004669,592,0.88725439,649.5,0.913470668,902.5,,
248.5,0.00867698,625.5,0.01518183,660.5,0.01518183,625.5,0.02652819,681,0.02652819,625.5,0.04645013,700.5,0.994647162,1059,,
248.5,0.76705276,497.5,1.32760847,535,1.32760847,497.5,2.30260279,557,0.07129206,678,0.12350159,714.5,0,1024,,
248.5,0.06736914,566,0.11765044,602.5,0.11470481,609.5,0.20059291,646,0.12019297,678.5,0.20879448,715,0.480362316,1007.5,,
248.5,0.02004689,599,0.03495704,635.5,0.03495704,599,0.06076148,656,0.06076148,599,0.10514333,675,0.994503883,1007.5,,
248.5,0.02946285,590,0.05103707,625.5,4.00E-08,950,7.00E-08,950.5,7.00E-08,950,1.50E-07,955,0,,,
248.5,2.20E-07,882.5,4.10E-07,886,1.90E-07,891.5,4.00E-07,893.5,2.90E-07,894,5.70E-07,902.5,0,,,
248.5,0.0279662,591.5,0.04890583,627,0.03545858,652,0.06188968,688.5,0.02628006,731.5,0.04584617,769,0,1122,,
248.5,0.09951697,554.5,0.1741337,592,0.13786907,613,0.23827633,649.5,0.23827633,613,0.41362167,668.5,0.934300734,950,,
248.5,0.19275231,536.5,0.3349386,573.5,0.3349386,536.5,0.58107242,594,0.16960782,649.5,0.29587822,686.5,0.930841919,992.5,,
248.5,0.0429354,579.5,0.07514388,615.5,0.07514388,579.5,0.1302387,636,0.1302387,579.5,0.22608437,657,0.973345084,971,,
248.5,0.26506292,527.5,0.46066496,564.5,0.46066496,527.5,0.80431039,585.5,0.80431039,527.5,1.39913443,605.5,0.995089693,863.5,,
248.5,0.06938157,565.5,0.12039755,601.5,0.12039755,565.5,0.20951583,622,0.0012237,786.5,0.00212929,823,0,1296.5,,
248.5,0.07954265,561.5,0.13801373,597.5,0.0953134,624.5,0.16479542,661,0.16479542,624.5,0.28744645,680,0.933593405,965,,
248.5,0.27411258,526.5,0.47714874,563.5,0.47714874,526.5,0.82986989,586.5,0.82986989,526.5,1.44072681,623,0.89897261,874,,
248.5,0.08417207,560,0.14561441,596,0.02304271,669.5,0.04003347,705,0.0171315,748.5,0.02977084,784.5,0,1150,,
248.5,0.69414144,501,1.20857289,538,1.20857289,501,2.11076497,560,1.79705238,578.5,3.13618796,617.5,0.941262637,847.5,,
248.5,0.05893514,570.5,0.10286019,606.5,0.04114395,651.5,0.07162784,688.5,0.07162784,651.5,0.12378447,707,0.931664772,1014,,
248.5,0.29893015,524,0.51942937,561,9.08E-04,761,0.00157457,794.5,0.00157457,761,0.00275797,813.5,0,1271,,
248.5,0.56187861,507,0.97559836,544,0.97559836,507,1.68636054,565,0.33327353,632.5,0.58088101,670,0.931809804,954.5,,
248.5,0.04888021,574,0.08462893,611,0.08462893,574,0.1472367,631.5,0.1472367,574,0.25786314,651,0.994589106,940.5,,
248.5,0.12432066,549.5,0.21636121,585.5,0.21636121,549.5,0.37570409,606,0.00183212,775,0.00318154,811.5,0,1269.5,,
248.5,0.03197465,587.5,0.05590288,623.5,0.04983468,638,0.08680467,674.5,0.08680467,638,0.15154116,693.5,0.935287284,1012,,
248.5,1.40E-07,874,2.60E-07,877,1.60E-07,882,3.00E-07,885,,,,,,,,
248.5,0.02211268,597,0.03822847,633,0.03822847,597,0.06686949,653.5,0.06686949,597,0.11696762,674,0.980553422,1008,,
248.5,0.09736919,556,0.17031598,592.5,0.17031598,556,0.29604325,613,0.29604325,556,0.51803426,632.5,0.994289799,891,,
248.5,1.33642243,481.5,2.32207227,520,2.32207227,481.5,4.0230332,548.5,4.0230332,481.5,6.99800503,573.5,0.964236033,768.5,,
248.5,0.04372795,579,0.07562295,614,1.60E-07,942.5,3.00E-07,944,4.00E-08,946,9.00E-08,946.5,0,,,
248.5,0.53982714,508,0.94153358,545,0.94153358,508,1.63519556,566.5,0.07037583,676.5,0.12232526,714,0,1040,,
248.5,0.21860982,533,0.38215895,570,0.29949748,592,0.5229414,629,0.5229414,592,0.91569498,648.5,0.935086965,899,,
248.5,0.44857537,513,0.77971652,550,0.77971652,513,1.35216731,573,0.28883873,639,0.50377227,675.5,0.035976613,962,,
