1.0,
1.0010864816027363,1.2571972064268409,
1.41997290454019,2.042148056673369,3.803756364652559,
1.1293752420227043,2.3579990150357313,3.750046509579573,2.762225702187258,
0.7653320404520148,1.7442446482376488,2.815968903995301,3.0887996564413025,3.434463590881837,
1.9384035371195198,3.7336033404364093,4.219991611688943,3.466399569801288,3.2282916020479653,5.689896433269574,
1.923642362391544,2.3468720729823582,3.6022901425180005,4.094223294105257,4.549533934467742,5.510569433595171,5.189160136512914,
1.5534649685572228,2.3795939599309106,3.9299185594963544,5.6317525725922595,3.813519662719023,4.94152091715476,5.160317117056527,5.649796283585463,
1.7188502178523806,3.420293221645557,5.497559956293094,4.394619435362749,2.6894577373551374,6.8457328361508925,5.960709314699937,5.083027465921368,5.936601744334433,
1.6746440664531987,3.7455500077854316,3.2822250255656504,4.4561771130631405,5.414136283017083,4.586359602548081,6.296999245584841,5.941872981463553,5.152439138563494,6.585602359803218,
2.142422752779045,3.6069071945245526,4.317201675992649,4.241607931312345,4.716461914104387,6.229654207355018,6.572735656868689,5.9783577865949535,6.11197931317897,7.022683246873414,6.459030017482483,
1.10952748187038,2.15626587873917,4.207382896661788,4.013429698619868,3.4284866572530266,6.863967716626392,4.550857541449663,5.541652329234023,6.8250812881383505,6.468084410408837,6.245016603437416,5.658512977672949,
2.14021748463619,3.6937003925430063,4.402211044284173,3.8917464897250205,3.4899961943095823,5.1775232635757655,5.114845694750095,4.880108845563566,5.431566315390168,6.332865651444274,6.399965266728787,7.08130386677303,6.790822672419925,
1.4477015420668158,3.518364285550639,4.666650343147035,3.909429138727187,3.8114030945611774,5.88954459490379,5.276726716479873,6.19775954144708,5.948068905596675,6.505587218690548,5.854127246690605,5.22770433453454,6.907465038185529,5.196946719870801,
3.015964305788164,4.703200770983375,6.011406278600265,5.251147151507891,5.0993221331454714,7.324344670129918,6.931449309659005,6.560381571912431,6.611446306992291,5.579598037981425,6.980823735437694,8.14061793816545,8.724351963278359,7.881399154079272,8.321631447997957,
2.0194162333654817,4.381223629863959,4.1868532694569645,3.4138027623411027,4.338739376150961,6.553522815982703,7.2403735590299565,5.813072773660458,6.636127747516177,7.157883292177716,7.1563538584675515,5.944170204482958,7.810232625109453,6.9005986723368755,8.31087296155375,8.39393069771189,
0.8947423337014995,2.5182846083498456,4.547819421641704,4.584372010868422,4.2240243635405745,6.452495075964659,6.661077260830267,5.042745876933876,6.994115355161489,5.878296295696824,6.434783105216544,6.508105727204812,8.487167430711551,8.002282188316915,8.23613708488558,7.543837278272091,6.703177975871725,
1.5380895514593331,4.720707507325226,4.4941853753923295,4.322540723659858,4.39659700187624,6.991458607786952,6.691448264500514,6.028116796028903,7.550692651431954,7.431906924553787,6.970510886379983,7.404814691734578,8.272811119726327,9.068202349154635,5.465771763352428,7.338441027826531,6.420596150090334,7.445898280674544,
